"filename", "language", "Ren'Py", "comment", "blank", "total"
"d:\Google Drive\programming\PyProjects\the-thoughtful-jam\Untitled-VN\game\scripts\combat\combat.rpy", "Ren'Py", 215, 2, 30, 247
"d:\Google Drive\programming\PyProjects\the-thoughtful-jam\Untitled-VN\game\scripts\combat\combat_defs.rpy", "Ren'Py", 357, 9, 56, 422
"Total", "-", 572, 11, 86, 669
